scenario_name,network_utilization_percent,total_retries,average_per_client_concurrency,total_concurrency,total_data_transmitted_bytes,average_round_trip_time_ms
single_upload-100mbps-20ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-100mbps-20ms-medium,95.82,0,12.13,12.13,7180283587,44334.63
single_upload-100mbps-20ms-none,95.96,0,12.52,12.52,7191279706,45690.34
single_upload-100mbps-250ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-100mbps-250ms-medium,0.00,2,1.00,1.00,0,0.00
single_upload-10gbps-20ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-10gbps-20ms-medium,1.43,0,14.18,14.18,1336077371,5055.93
single_upload-10gbps-20ms-none,1.55,0,14.86,14.86,1289563138,4257.70
single_upload-10gbps-250ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-10gbps-250ms-medium,0.00,1,1.00,1.00,0,0.00
single_upload-10gbps-250ms-none,0.00,1,1.00,1.00,0,0.00
single_upload-10mbps-20ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-10mbps-20ms-medium,92.76,0,1.00,1.00,695104705,37409.54
single_upload-10mbps-20ms-none,93.25,0,1.00,1.00,698783287,37848.31
single_upload-10mbps-250ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-10mbps-250ms-medium,0.00,1,1.00,1.00,0,0.00
single_upload-10mbps-250ms-none,0.00,1,1.00,1.00,0,0.00
single_upload-1gbps-20ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-1gbps-20ms-medium,15.02,0,14.09,14.09,1399007407,5105.71
single_upload-1gbps-20ms-none,14.83,0,14.11,14.11,1385363972,5146.50
single_upload-1gbps-250ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-1gbps-250ms-medium,0.00,1,1.00,1.00,0,0.00
single_upload-1gbps-250ms-none,0.00,1,1.00,1.00,0,0.00
single_upload-50mbps-20ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-50mbps-20ms-medium,11.21,28,7.06,7.06,420051778,14365.63
single_upload-50mbps-20ms-none,4.76,29,5.17,5.17,178449851,2199.73
single_upload-50mbps-250ms-heavy,0.00,1,1.00,1.00,0,0.00
single_upload-50mbps-250ms-medium,0.00,1,1.00,1.00,0,0.00
single_upload-50mbps-250ms-none,0.00,1,1.00,1.00,0,0.00
